LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
"ECOFACTOR, INC.",REDWOOD CITY,CA,541519.0
"CIRRUS LOGIC, INC.",AUSTIN,TX,334413.0
KAUTEX INC.,TROY,MI,326199.0
CLOUDRAY INC,JAMESBURG,NJ,541511.0
"TAKE-TWO INTERACTIVE SOFTWARE, INC.",NEW YORK,NY,511210.0
"ST. JUDE MEDICAL, INC.",ST. PAUL,MN,339112.0
RADI TECH,SOUTH PLAINFIELD,NJ,541511.0
TRINET HR CORPORATION,SAN LEANDRO,CA,541512.0
"E-DIALOG, INC.",BURLINGTON,MA,541519.0
KLA-TENCOR CORPORATION,MILPITAS,CA,333314.0
TAVANT TECHNOLOGIES INC.,SANTA CLARA,CA,541511.0
MONTEBELLO ADULT DAY HEALTHCARE CENTER,GLENDALE,CA,624120.0
"ACS STATE & LOCAL SOLUTIONS, INC.",DALLAS,TX,541512.0
"CALSOFT LABS, INC.",SANTA CLARA,CA,541511.0
"REHABCARE GROUP, INC.",LOUISVILLE,KY,62134.0
VSQUARE INFOTECH INC.,ISELIN,NJ,541511.0
"BERKSHIRE MEDICAL CENTER, INC.",PITTSFIELD,MA,622110.0
"WHITE COCONUT COMPUTER SERVICES, INC.",SAIPAN,MP,541513.0
"BLUESCOPE BUILDINGS NORTH AMERICA, INC.",KANSAS CITY,MO,332311.0
COMPUTER POWER GROUP INC,BROOKFIELD,WI,541511.0
WESTPORT TRADE INC.,SAN CLEMENTE,CA,423910.0
"VEDICSOFT SOLUTIONS, INC.",ISELIN,NJ,541511.0
BELKIN INTERNATIONAL,PLAYA VISTA,CA,541512.0
"INTRAEDGE, INC.",CHANDLER,AZ,541511.0
VIRTUSA CORPORATION,WESTBOROUGH,MA,541511.0
"ABC IMAGING OF WASHINGTON, INC.",WASHINGTON,DC,323119.0
"UNISEM (SUNNYVALE), INC.",SUNNYVALE,CA,334413.0
"TBWA WORLDWIDE, INC.",LOS ANGELES,CA,541810.0
LOTTEN INTERNATIONAL LTD,HOUSTON,TX,541330.0
"SDLC MANAGEMENT, INC.",MONROEVILLE,PA,5613.0
"BROKEN HILL PROPRIETARY (USA), INC.",HOUSTON,TX,541690.0
"FABERGENT, INC.",MAHWAH,NJ,541511.0
"PDX, INC.",FORT WORTH,TX,541511.0
OMNI HOTELS MANAGEMENT CORPORATION,IRVING,TX,721110.0
PFIZER INC,NEW YORK,NY,325412.0
NVIDIA CORPORATION,SANTA CLARA,CA,334111.0
SCHAWK INC.,DES PLAINES,IL,541430.0
"MACYS.COM, INC.",SAN FRANCISCO,CA,452111.0
"HOMESITE GROUP, INC.",BOSTON,MA,524100.0
SYNTEL CONSULTING INC,TROY,MI,541511.0
NATIONAL STUDENT LOAN CLEARINGHOUSE,HERNDON,VA,611710.0
"RESPIRA THERAPEUTICS, INC.",SANTA FE,NM,541700.0
"PRAXAIR, INC.",DANBURY,CT,32512.0
"BIO-RAD LABORATORIES, INC.",HERCULES,CA,541710.0
AMBROSE FACILITIES MANAGEMENT INC,DEPTFORD,NJ,561110.0
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,334413.0
MEDIO SYSTEMS INC,SEATTLE,WA,541511.0
"MICHAEL L. HUMISTON, PC",VERNAL,UT,541110.0
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,511210.0
